Year,Host,Total Attendance,Matches
1930,Uruguay,590549,18
1934,Italy,363000,17
1938,France,375700,18
1950,Brazil,1045246,22
1954,Switzerland,768607,26
1958,Sweden,819810,35
1962,Chile,893172,32
1966,England,1563135,32
1970,Mexico,1603975,32
1974,West Germany,1865753,38
1978,Argentina,1545791,38
1982,Spain,2109723,52
1986,Mexico,2394031,52
1990,Italy,2516215,52
1994,United States,3587538,52
1998,France,2785100,64
2002,South Korea Japan,2705197,64
2006,Germany,3359439,64
2010,South Africa,3178856,64
2014,Brazil,3429873,64
2018,Russia,3031768,64
2022,Qatar,3404252,64