Year,Host,Champion,Runner Up,Third,Fourth,Teams
1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13
1934,Italy,Italy,Czechoslovakia,Germany,Austria,16
1938,France,Italy,Hungary,Brazil,Sweden,15
1950,Brazil,Uruguay,Brazil,Sweden,Spain,13
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16
1958,Sweden,Brazil,Sweden,France,West Germany,16
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16
1966,England,England,West Germany,Portugal,Soviet Union,16
1970,Mexico,Brazil,Italy,West Germany,Uruguay,16
1974,West Germany,West Germany,Netherlands,Poland,Brazil,16
1978,Argentina,Argentina,Netherlands,Brazil,Italy,16
1982,Spain,Italy,West Germany,Poland,France,24
1986,Mexico,Argentina,West Germany,France,Belgium,24
1990,Italy,West Germany,Argentina,Italy,England,24
1994,United States,Brazil,Italy,Sweden,Bulgaria,24
1998,France,France,Brazil,Croatia,Netherlands,32
2002,South KoreaÂ Japan,Brazil,Germany,Turkey,South Korea,32
2006,Germany,Italy,France,Germany,Portugal,32
2010,South Africa,Spain,Netherlands,Germany,Uruguay,32
2014,Brazil,Germany,Argentina,Netherlands,Brazil,32
2018,Russia,France,Croatia,Belgium,England,32
2022,Qatar,Argentina,France,Croatia,Morocco,32