Title,Country,Maturity Rating,Review Rating,Language,Filming Locations,Budget,Release Month,Release Day,Run Time
Rise of the Animals (2011),USA,NOT RATED,3.6,English,"Rochester, New York, USA",7000,May,1,70
Zombie Resurrection (2014),UK,NOT RATED,2.7,English,"Hampshire, England, UK",100000,March,23,86
Before Dawn (2013),Japan,NOT RATED,4.7,English,"Yorkshire, England, UK",25000,June,8,82
Apparition (2015),USA,NOT RATED,4.0,English,"Philadelphia, Pennsylvania, USA",3000000,May,5,100
Her Cry: La Llorona Investigation (2013),USA,NOT RATED,5.4,English,"Houston, Texas, USA",60000,April,19,89
Haunted House on Sorority Row (2014),USA,NOT RATED,5.6,English,"Dayton, Ohio, USA",65000,February,21,81
Legend Has It (2009),UK,NOT RATED,4.1,English,"Pasadena, California, USA",350000,September,17,95
Fetish Dolls Die Laughing (2012),USA,NOT RATED,2.0,English,"Pittsburgh, Pennsylvania, USA",4000,April,24,100
Shame the Devil (2013),USA,NOT RATED,3.5,English,"London, England, UK",3000000,September,9,94
Holla II (2013),USA,R,6.9,English,"Ellenton, Florida, USA",1000000,April,19,90
The Lurking (2015),USA,NOT RATED,6.0,English,"Wisconsin, USA",730,December,10,61
"Gangsters, Guns & Zombies (2012)",USA,TV-MA,3.9,English,"Kent, England, UK",1200,December,11,88
Hazard Jack (2014),USA,NOT RATED,2.7,English,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA",3000000,May,13,82
Reminiscence: The Beginning (2014),Turkey,NOT RATED,6.4,English,"Izmir, Turkey",500000,June,1,100
Lost Lake (2012),Germany,R,3.4,English,"Trona, California, USA",500000,November,13,85
Jake's Road (2017),USA,NOT RATED,4.0,English,"Folsom, Louisiana, USA",300000,September,23,85
Wild Men (2017),USA,TV-MA,6.9,English,"Pawling, New York, USA",97948,February,7,90
The Man in the Orange Jacket (2014),Latvia,TV-MA,5.1,Latvian,Latvia,40000,February,27,71
Scream Park (2012),UK,NOT RATED,4.2,English,"University of Pittsburgh, Pittsburgh, Pennsylvania, USA",3000000,April,25,85
"Silent Night, Bloody Night: The Homecoming (2013)",UK,NOT RATED,4.5,English,"Bridgend, Wales, UK",20000,June,10,85
Dream Nightmare (2016),USA,NOT RATED,8.0,English,"Chicago, Illinois, USA",500,December,30,75
Nazi Vengeance (2014),USA,R,2.5,English,"Duncannon Fort, Co.Wexford, Ireland",125000,May,5,97
Love of my Life (2013),USA,NOT RATED,3.4,English,Australia,150000,November,10,96
Psychedelia (2016),USA,NOT RATED,8.6,English,"1147 N. Western Ave, Chicago, Illinois, USA",2000,June,2,73
A Cry from Within (2014),USA,NOT RATED,3.9,English,"Manhattan, New York City, New York, USA",450000,April,3,96
How to Kill a Zombie (2014),USA,NOT RATED,4.5,English,"Maine, USA",20000,May,9,91
Date of the Dead (2015),USA,NOT RATED,4.4,English,"Tucson, Arizona, USA",50000,August,17,98
90210 Shark Attack (2014),USA,NOT RATED,1.9,English,"24389 Dry Canyon Cold Creek Road, Calabasas, California, USA",1000000,October,1,75
Rise of the Zombie (2013),India,NOT RATED,4.3,Hindi,"Uttarakhand, India",500000,April,5,86
Deer Crossing (2012),USA,NOT RATED,3.2,English,"Pipersville, Pennsylvania, USA",50000,September,25,110
6 Days Dark (2014),USA,NOT RATED,4.1,English,"Istanbul, Turkey",2000000,November,20,90
Zombie Dawn (2011),USA,R,3.2,Spanish,"Santiago, Chile",22000,April,20,83
Infected (2013),USA,NOT RATED,3.8,English,"Bedford, Bedfordshire, England, UK",20000,June,9,116
Blood Runs Cold (2011),USA,NOT RATED,4.1,English,"Stockholm, Stockholms län, Sweden",5000,July,2,80
After Dark (2013),USA,NOT RATED,4.2,English,"Long Beach, California, USA",100000,February,3,87
Shock Value (2014),USA,NOT RATED,5.6,English,"Woodland Hills, Los Angeles, California, USA",150000,August,1,91
Head Cases: Serial Killers in the Delaware Valley (2013),USA,NOT RATED,4.3,English,"Claymont, Delaware, USA",17000,September,28,110
The Oatmeal Man (2014),USA,NOT RATED,4.5,English,"Los Angeles, California, USA",100000,October,19,81
Shockwave (2016),USA,NOT RATED,7.8,English,"Chicago, Illinois, USA",1000,January,1,88
Gilgamesh (2014),USA,NOT RATED,5.4,English,"Lawrence, Massachusetts, USA",20000,November,20,103
Eddie: The Sleepwalking Cannibal (2012),USA,NOT RATED,5.7,English,"Ottawa, Ontario, Canada",1500000,April,5,90
Stab 6: Ghostface Returns (2012),USA,NOT RATED,7.5,English,"Manchester, New Hampshire, USA",1300,October,31,105
Colour from the Dark (2008),Italy,NOT RATED,4.7,English,"Ferrara, Ferrara, Emilia-Romagna, Italy",100000,March,9,92
Vamperifica (2012),USA,NOT RATED,3.7,English,"Clinton Diner, Maspeth, Queens, New York City, New York, USA",1000000,October,18,99
The Secret Village (2013),USA,NOT RATED,2.4,English,"Berkshires, Massachusetts, USA",1950000,October,18,89
The Brides of Sodom (2013),USA,NOT RATED,2.6,English,"Los Angeles, California, USA",1500000,January,29,89
Speak No Evil (2013),Brazil,R,3.7,English,"Apache Junction, Arizona, USA",150000,October,8,74
Devoured (2012),USA,NOT RATED,5.4,English|Spanish,"Manhattan, New York City, New York, USA",1500000,September,2,89
It's in the Blood (2012),USA,TV-MA,4.6,English,"Spiderwood Studios, Austin, Texas, USA",3000000,January,28,81
Empress of the Evil Dead (2012),USA,UNRATED,4.9,English|Chinese,"Alhambra, California, USA",250000,April,27,89
The Death of April (2012),USA,NOT RATED,4.9,English,"Bayonne, New Jersey, USA",30000,October,9,90
Mansion of Blood (2015),USA,NOT RATED,4.8,English,"Orlando, Florida, USA",800000,July,15,98
Love in the Time of Monsters (2014),USA,NOT RATED,5.5,English,"Gasquet, California, USA",500000,March,8,97
Torture Chamber (2013),Netherlands,R,3.1,English,"Greenpoint, Brooklyn, New York City, New York, USA",200000,February,5,90
Blood Widow (2014),Philippines,NOT RATED,2.9,English,"Longwood, Florida, USA",65000,July,30,84
Huff (2013),USA,NOT RATED,3.2,English,"Santa Clarita, California, USA",500000,April,5,92
Unlucky Charms (2013),USA,UNRATED,4.2,English,"Los Angeles, California, USA",500000,July,22,80
Snow White: A Deadly Summer (2012),USA,PG-13,2.2,English,"Sylmar, Los Angeles, California, USA",1000000,March,16,83
Jonah Lives (2015),USA,NOT RATED,3.2,English,"Fall River, Massachusetts, USA",3000000,September,18,94
Self Storage (2013),USA,R,3.2,English,"Rhode Island, USA",1000000,September,17,93
The Cohasset Snuff Film (2012),USA,NOT RATED,5.3,English,"Cohasset, Massachusetts, USA",50000,October,31,85
3 Scream Queens (2014),USA,UNRATED,5.7,English,"1807 Latigo Canyon Road, Malibu, California, USA",1000000,October,31,75
Hell Town (2015),USA,TV-MA,4.8,English,USA,200000,April,23,89
The Reverend (2011),UK,NOT RATED,4.3,English,"South Wales, Wales, UK",1000000,August,3,98
The Invited (2010),USA,NOT RATED,4.3,English,"Camino, California, USA",7000000,March,17,95
Bacchanalia (2017),USA,TV-MA,5.8,English,"Provence-Alpes-Côte d'Azur, France",1000000,October,10,101
Silent But Deadly (2011),USA,NOT RATED,3.6,English,"Chatham, Ontario, Canada",1180000,September,24,80
Orgy of the Damned (2010),USA,NOT RATED,5.7,English,"Alhambra, California, USA",250000,May,25,92
X Moor (2014),USA,NOT RATED,3.9,English,"Belfast, Northern Ireland",1000000,October,10,76
Darkside Witches (2015),USA,TV-MA,4.7,Italian|English,"Drago Castle, Antuni, Castel di Tora, Rieti, Lazio, Italy",2000000,April,7,89
Spirit in the Woods (2014),USA,NOT RATED,5.3,English,"Ohio, USA",1500,March,15,79
Stomping Ground (2014),Kuwait,NOT RATED,5.1,English,"Greensboro, North Carolina, USA",100000,December,24,80
Alpha Girls (2013),USA,R,3.4,English,"Philadelphia, Pennsylvania, USA",28000,September,1,90
The Biker Warrior Babe vs. The Zombie Babies from Hell (2014),USA,TV-MA,3.6,English,"Heath, Ohio, USA",10000,November,1,79
Die Die Delta Pi (2013),USA,UNRATED,4.2,English,"Tampa, Florida, USA",7000,June,21,78
Grim Reapers (2014),USA,NOT RATED,3.7,English,"Russellville, Alabama, USA",25000,September,27,82
Hole in the Wall (2014),USA,NOT RATED,4.3,English,"Oshkosh, Wisconsin, USA",10000,September,26,79
Crazy Murder (2014),USA,TV-MA,5.1,English,"New York City, New York, USA",5000,October,29,93
The Demon's Rook (2013),USA,TV-MA,5.5,English,"Moreland, Georgia",75000,October,13,103
I Didn't Come Here to Die (2010),USA,NOT RATED,5.4,English,"Kyle, Texas, USA",100000,January,7,80
Disciples (2014),USA,R,2.1,English,"Florida, USA",115000,September,12,90
Toxin (2014),USA,NOT RATED,2.4,English,"Vancouver, British Columbia, Canada",500000,April,15,73
The Brain Hunter (2013),USA,NOT RATED,7.3,English,"South Salem, New York, USA",10000,November,15,85
Doc. 33 (2012),Italy,R,6.6,Italian|German,"Anterivo, Bolzano, Trentino Alto-Adige, Italia",1500,January,1,63
Slash (2013),USA,NOT RATED,7.4,English,"Long Island, New York, USA",500,September,9,79
Alone in the Ghost House (2015),USA,TV-MA,5.1,English,"Waynesville, Ohio, USA",26000,June,5,82
Abolition (2011),USA,NOT RATED,4.7,English,"Brantford, Ontario, Canada",150000,October,23,82
Hyde's Secret Nightmare (2011),Italy,UNRATED,5.8,Italian,"Rome, Lazio, Italy",200000,January,13,122
Blood Slaughter Massacre (2013),USA,NOT RATED,4.7,English,"Queens, New York City, New York, USA",50000,May,19,125
The Watermen (2012),Brazil,R,3.0,English,"Newport News, Virginia, USA",1150000,June,20,94
The Lurking (2015),USA,NOT RATED,6.0,English,"Wisconsin, USA",730,December,10,61
Sleeper (2012),USA,TV-MA,3.9,English,"Queensland, Australia",800000,June,26,86
The Black Dahlia Haunting (2012),Canada,TV-14,5.0,English,"Los Angeles, California, USA",2000,July,1,80
Attack of the Herbals (2011),USA,TV-MA,3.6,English,"Johnshaven, Scotland, UK",15000,September,4,81
Marianne (2011),USA,NOT RATED,4.9,Swedish,"Östersund, Jämtlands län, Sweden",1000000,July,3,103
Psychotic (2012),USA,TV-14,3.9,English,"Gosport, Hampshire, England, UK",2000000,March,3,80
Scarewaves (2014),USA,TV-MA,5.0,English,"Dayton, Ohio, USA",70000,September,26,82
Killer Holiday (2013),USA,R,3.1,English,"Santa Ventura Studios - 5301 North Ventura Avenue, Ventura, California, USA",1000000,November,5,103
Horror House on Highway 6 (2014),USA,NOT RATED,3.9,English,"Frazier Park, California, USA",100000,November,4,86
Mary Loss of Soul (2014),USA,NOT RATED,4.0,English,"Foxborough, Massachusetts, USA",700000,October,29,89
The Eschatrilogy: Book of the Dead (2012),Philippines,NOT RATED,5.2,English,"Sheffield, South Yorkshire, England, UK",5000,February,19,103
Paranormal Extremes: Text Messages from the Dead (2015),USA,NOT RATED,2.3,English,"Las Vegas, Nevada, USA",500000,May,1,102
The Sins of Dracula (2014),USA,NOT RATED,6.2,English,"Providence, Rhode Island, USA",20000,October,26,81
Deadtime (2012),USA,NOT RATED,2.2,English,"England, UK",25000,May,11,97
The Paranormal Diaries: Clophill (2013),UK,NOT RATED,3.6,English,"Clophill, Bedfordshire, England, UK",100000,October,14,88
Fractional (2011),USA,NOT RATED,4.7,English,"Dublin, County Dublin, Ireland",10000,October,1,93
The Cabining (2014),USA,UNRATED,4.3,English,"Michigan, USA",3000000,January,16,83
Night Terrors (2014),USA,NOT RATED,6.9,English,"Lafayette, Indiana, USA",5000,November,24,98
All Sinner's Night (2014),USA,NOT RATED,1.9,English,"8590 N. Kitchen Rd. Moooresville, Indiana, USA",14000,June,9,90
Story of Eva (2015),USA,UNRATED,4.1,English,"Antioch, California, USA",60000,January,13,95
Slash 2 (2014),USA,NOT RATED,7.6,English,"Long Island, New York, USA",500,August,21,95
Darkest Night (2012),USA,TV-MA,3.4,English,Philippines,125000,July,1,99
Scavenger Killers (2014),USA,TV-MA,4.8,English,"New Jersey, USA",1000000,July,1,100
666: Kreepy Kerry (2014),USA,NOT RATED,2.9,English,"24389 Dry Canyon Cold Creek Road, Calabasas, California, USA",1000000,April,2,75
You're Nobody 'til Somebody Kills You (2012),USA,R,3.1,English,"New York City, New York, USA",1000000,July,10,86
Savage High (2015),USA,NOT RATED,8.1,English,"1147 N. Western Ave, Chicago, Illinois, USA",2500,October,30,90
Hunting the Legend (2014),Canada,NOT RATED,3.5,English,"Wilsonville, Alabama, USA",100000,July,8,95
House of Bad (2013),USA,NOT RATED,3.1,English,"Los Angeles, California, USA",150000,May,18,96
The Cook (2013),USA,NOT RATED,4.2,English,"Oklahoma, USA",30000,April,1,88
Another Kind (2013),USA,NOT RATED,5.2,English,"Brooklyn, New York City, New York, USA",120000,November,23,76
Collapse (2011),USA,NOT RATED,4.9,English,"West Branch, Iowa, USA",625000,September,23,88
The Crypt (2009),Peru,R,3.4,English|Spanish,"Scottsdale, Arizona, USA",1350000,January,29,84
Cool as Hell (2013),USA,NOT RATED,4.4,English,"New York City, New York, USA",60000,February,19,100
Dark Waves (2015),USA,R,4.3,Italian,Italy,100000,August,9,86
Paranormal Island (2014),Philippines,NOT RATED,3.1,English,"Antioch, Illinois, USA",2000000,December,10,82
Kill Me Now (2012),USA,TV-MA,5.9,English,"Effingham, Illinois, USA",90000,December,5,85
3 Wicked Witches (2014),USA,NOT RATED,4.4,English,"24389 Dry Canyon Cold Creek Road, Calabasas, California, USA",1000000,January,1,75
Dyke Hard (2014),Sweden,NOT RATED,5.0,Swedish|English,"Stockholm, Sweden",1850000,March,6,90
Christmas Slay (2015),USA,NOT RATED,3.5,English,"Kent, England, UK",20000,November,11,95
Don't Kill It (2016),USA,NOT RATED,5.2,English,"Mississippi, USA",3500000,March,3,83
Way Down in Chinatown (2014),USA,NOT RATED,6.9,English,"Los Angeles, California, USA",35000,September,1,83
The Wicker Tree (2011),USA,R,3.9,English,"Arniston House, Gorebridge, Midlothian, Scotland, UK",7750000,January,27,96
Vampires: Lucas Rising (2014),UK,UNRATED,5.0,English,"Cheshire, England, UK",65000,October,9,107
Tall Men (2016),USA,TV-MA,3.4,English,"Everett, Washington, USA",300000,May,31,133
Evil Dead (2013),USA,R,6.5,English,"Muriwai Beach, Woodhill Forest, Woodhill, Auckland, New Zealand",17000000,April,5,91
Come Out and Play (2012),USA,R,4.7,English|Spanish,"Quintana Roo, Mexico",12000000,March,22,105
Kandisha (2008),USA,NOT RATED,7.8,Arabic|English|French,Morocco,3500000,April,5,91
Kingdom Come (2014),Australia,NOT RATED,4.3,English,"London, Ontario, Canada",3000000,August,20,97
Hansel & Gretel: Witch Hunters (2013),USA,R,6.1,English,"Sächsische Schweiz, Saxony, Germany",50000000,January,25,88
Evil Night (2014),UK,NOT RATED,5.1,English,"Rochester, New York, USA",2000,September,10,55
The Last Vampyre on Earth (2013),USA,TV-MA,4.5,English|English,"Grand Rapids, Michigan, USA",1000000,February,17,75
Shame the Devil (2013),USA,NOT RATED,3.5,English,"London, England, UK",3000000,September,9,94
Deadly Revisions (2013),USA,NOT RATED,4.6,English,"Los Angeles, California, USA",100000,September,29,95
Dismembering Christmas (2015),USA,NOT RATED,4.3,English,"Rhinelander, Wisconsin, USA",25000,October,13,74
The Trouble with Barry (2013),USA,NOT RATED,6.9,English,"Los Angeles, California, USA",10000,March,15,88
The Road (2011),USA,R,5.6,Filipino|Tagalog|English,"Novaliches, Quezon City, Metro Manila, Philippines",300000,May,11,110
Motivational Growth (2013),USA,NOT RATED,5.9,Spanish|English,"Chicago, Illinois, USA",176199,November,9,104
Slash 3 (2015),USA,NOT RATED,7.7,English,"Long Island, New York, USA",586,July,24,124
Slaughter Creek (2011),UK,NOT RATED,3.2,English,"Austin, Texas, USA",1000000,April,29,94
Devil's Deal (2013),USA,R,2.6,English,"Upshur County, Texas, USA",250000,March,3,101
The Summoning (2014),USA,TV-MA,3.2,English,"Orlando, Florida, USA",200000,October,13,88
Nine Miles Down (2009),South Korea,NOT RATED,5.5,English,"Budafoki Film Studios, Budapest, Hungary",22000000,June,28,86
Chemical Peel (2014),USA,R,5.7,English,"Glendale, California, USA",20000,October,14,95
War of the Dead (2011),Finland,NOT RATED,4.1,English,"Vilnius, Vilnius County, Lithuania",1000000,May,4,86
Bleeding Hearts (2015),USA,NOT RATED,4.3,English,"Middletown, New York, USA",1200000,February,3,100
Silent Retreat (2013),USA,NOT RATED,4.2,English,"Kettleby Valley, Ontario, Canada",250000,June,23,95
Wasteland (2013),USA,NOT RATED,3.3,English,"Derby, Derbyshire, England, UK",500000,September,1,92
100 Ghost Street: The Return of Richard Speck (2012),USA,R,4.0,English,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA",150000,July,24,84
Vampire Boys 2: The New Brood (2013),USA,NOT RATED,2.1,English,"Westminster, California, USA",20000,January,29,75
Bikini Swamp Girl Massacre (2014),USA,NOT RATED,3.9,English,"Miami, Florida, USA",50000000,April,29,83
Rabid Love (2013),USA,NOT RATED,3.3,English,"Burbank, California, USA",100000,April,19,90
Wither (2012),Sweden,NOT RATED,5.0,Swedish,"Knivsta, Sweden",300000,August,9,95
Piranha Sharks (2014),USA,NOT RATED,3.5,English,"Ridgefield, Connecticut, USA",750000,August,8,79
Stalled (2013),USA,NOT RATED,4.7,English,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",45000,March,25,84
Dead End (2014),USA,NOT RATED,7.1,English,"Santa Clara, California, USA",1000000,October,16,95
Me and My Mates vs. The Zombie Apocalypse (2015),Australia,NOT RATED,4.8,English,"Canberra, Australian Capital Territory, Australia",900000,August,3,90
After School Massacre (2014),USA,NOT RATED,3.4,English,"Hollywood, California, USA",40000,January,10,73
Therapy for a Vampire (2014),Austria,UNRATED,6.4,German,"Vienna, Austria",6000000,December,19,87
Crowsnest (2012),USA,R,3.8,English,"North Vancouver, British Columbia, Canada",1200000,September,7,84
Repentance (2013),Kuwait,R,4.8,English,"New Orleans, Louisiana, USA",5000000,September,25,90
Axe to Grind (2015),USA,TV-MA,3.6,English,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA",550000,February,3,84
May I Kill U? (2012),UK,UNRATED,5.6,English,"London, England, UK",1000000,January,11,87
Hidden in the Woods (2012),Chile,NOT RATED,4.6,Spanish,"Chillán, Chile",90000,March,6,95
Kill Zombie! (2012),Netherlands,TV-MA,4.9,Dutch,"Amsterdam, Noord-Holland, Netherlands",500000,February,16,90
Sorority Slaughterhouse (2016),USA,NOT RATED,3.3,English,"Calabasas, California, USA",1000000,October,31,85
Detention of the Dead (2012),USA,NOT RATED,4.6,English,"Michigan, USA",500000,April,27,87
Some Guy Who Kills People (2011),UK,R,6.4,English,"Los Angeles, California, USA",300000,October,5,97
Pro Wrestlers vs Zombies (2014),USA,NOT RATED,3.6,English,"Charleroi, Pennsylvania, USA",230000,March,28,88
The Girl with No Name (2017),USA,R,5.6,English,"Syracuse, New York, USA",10000,March,3,80
The Invoking (2013),Peru,UNRATED,2.9,English,"Red Bluff, California, USA",11000,November,27,82
The Last Will and Testament of Rosalind Leigh (2012),Russia,NOT RATED,5.3,English,"Toronto, Ontario, Canada",1800000,June,13,82
House Guest Massacre (2013),USA,NOT RATED,6.1,English,"Tampa Bay, Florida, USA",53000,July,15,71
An American Ghost Story (2012),USA,NOT RATED,4.3,English,"Los Angeles, California, USA",10000,October,1,95
The Appearing (2014),USA,R,3.0,English,"Universal Studios Hollywood - 1000 Universal Studios Blvd, Universal City, California, USA",1000000,March,25,92
Zombie Hunter (2013),USA,NOT RATED,3.5,English,"Wendover, Nevada, USA",1000000,October,8,93
Apocalypse Z (2013),Japan,NOT RATED,2.3,English,"Bagnone, Tuscany, Italy",1000000,October,26,87
Bear Creek (2017),USA,NOT RATED,5.0,English,"Loveland, Colorado, USA",7500,February,19,90
Blood Trap (2015),USA,NOT RATED,4.0,English,"Rome, Lazio, Italy",5000000,September,20,90
616: Paranormal Incident (2013),USA,NOT RATED,2.8,English|Bulgarian,"Los Angeles, California, USA",50000,February,12,90
Asmodexia (2014),USA,NOT RATED,4.7,Spanish,"Barcelona, Catalonia",500000,September,26,81
Rogue River (2012),UK,R,4.3,English,"Grants Pass, Oregon, USA",2000000,January,16,81
Airborne (2012),Sweden,TV-14,3.9,English,"London, England, UK",1200000,February,6,81
Playback (2012),USA,R,4.3,English,"Grand Rapids, Michigan, USA",1600000,March,9,98
Prisoners of the Sun (2013),USA,TV-14,3.6,English,"Atlas Corporation Studios, Ouarzazate, Morocco",18000000,July,8,85
13 Eerie (2013),USA,NOT RATED,4.5,English,"Moose Jaw, Saskatchewan, Canada",3000000,April,2,87
A Resurrection (2013),USA,R,4.0,English|Spanish,"Pennsylvania, USA",5000000,March,22,89
Re-Kill (2015),USA,R,5.0,English,"Baton Rouge, Louisiana, USA",9500000,October,16,88
Spiders 3D (2013),Malaysia,PG-13,3.4,English,"Boyana Film Studios, Sofia, Bulgaria",7000000,February,21,89
Inbred (2011),UK,R,5.2,English,"Thirsk, North Yorkshire, England, UK",1250000,September,21,98
Found (2012),Japan,UNRATED,5.9,English,"Bloomington, Indiana, USA",8000,January,10,103
Soulmate (2013),USA,NOT RATED,5.1,English,"Brecon, Powys, Wales, UK",600000,July,12,104
Zombie Massacre 2: Reich of the Dead (2015),UK,NOT RATED,2.5,English,"Pisa, Tuscany, Italy",1000000,June,8,84
Hansel & Gretel: Warriors of Witchcraft (2013),USA,PG-13,2.6,English,"Los Angeles, California, USA",1000000,January,22,83
The Thompsons (2012),USA,R,4.7,English,"Ashford, Kent, England, UK",3000000,December,31,82
Exit Humanity (2011),UK,NOT RATED,5.4,English,"Owen Sound, Ontario, Canada",300000,June,29,114
Aaah! Zombies!! (2007),Netherlands,NOT RATED,5.7,English,"Los Angeles, California, USA",1000000,January,1,87
Thale (2012),Norway,NOT RATED,5.6,Norwegian|Swedish,"Mosjøen, Nordland, Norway",1200000,February,17,76
Quarantine L.A. (2013),South Korea,NOT RATED,2.6,English,"Lancaster, California, USA",1200000,March,17,75
Stranded (2013),USA,NOT RATED,3.5,English,"Regina, Saskatchewan, Canada",2000000,July,26,84
The Cloth (2013),USA,NOT RATED,2.7,English,"Los Angeles, California, USA",4000000,July,2,88
House of Flesh Mannequins (2009),USA,UNRATED,3.4,English,"Los Angeles, California, USA",400000,April,1,100
Hallows' Eve (2014),Canada,NOT RATED,3.3,English,"Kennett Square, Pennsylvania, USA",300000,October,14,78
Darker Than Night (2014),USA,R,4.2,Spanish,"Mexico City, Distrito Federal, Mexico",37700000,September,26,110
The Sleeper (2012),USA,NOT RATED,4.0,English,"Springfield, Ohio, USA",30000,January,31,90
The Colony (2013),USA,NOT RATED,5.3,English,"North Bay, Ontario, Canada",16000000,September,20,95
The Collection (2012),USA,R,6.1,English,"Los Angeles, California, USA",10000000,November,30,82
Asylum Blackout (2011),USA,NOT RATED,5.6,English,"Brussels, Brussels-Capital, Belgium",500000,May,4,85
Wish Upon (2017),USA,PG-13,5.1,English,"Toronto Ontario, Canada",12000000,July,14,90
Scary Movie 5 (2013),USA,PG-13,3.5,English|Spanish|Latin,"Atlanta, Georgia, USA",20000000,April,12,88
Bait (2012),Australia,R,5.2,English,"Coolangatta, Queensland, Australia",30000000,September,20,93
"As Above, So Below (2014)",USA,R,6.2,English|French|Latin,"Church of St Eustache, Paris 1, Paris, France",5000000,August,29,93
Abraham Lincoln: Vampire Hunter (2012),USA,R,5.9,English,"Second Line Stages, New Orleans, Louisiana, USA",69000000,June,22,105
The Damned (2013),USA,R,5.2,English|Spanish,"Bogotá, Colombia",3000000,August,29,87
The Conspiracy (2012),USA,NOT RATED,6.3,English,"Toronto, Ontario, Canada",1500000,August,8,84
Friend Request (2016),USA,R,5.4,English,"Cape Town, South Africa",9900000,September,22,92
It (2017),USA,R,7.8,English,"Toronto, Ontario, Canada",35000000,September,8,135
Silent House (2011),USA,R,5.3,English,"New Rochelle, New York, USA",2000000,March,9,86
10 Cloverfield Lane (2016),USA,PG-13,7.2,English,"New Orleans, Louisiana, USA",15000000,March,11,104
A Little Bit Zombie (2012),Japan,R,5.3,English,"Sudbury, Ontario, Canada",1900000,June,8,87
Villmark 2 (2015),Norway,NOT RATED,5.8,Norwegian,"Kaupanger, Norway",1500000,October,9,93
In Their Skin (2012),USA,NOT RATED,5.3,English,"Langley, British Columbia, Canada",4000000,November,9,97
Zombies Vs. Strippers (2012),USA,R,3.5,English,"Los Angeles, California, USA",500000,July,9,75
sxtape (2013),USA,R,3.3,English,"Los Angeles, California, USA",600000,May,16,82
