date,Pop SD,Growth SD,Pop SJ,Growth SJ
1970,1209000,3.69,1009000,4.34
1971,1252000,3.56,1027000,1.78
1972,1297000,3.59,1046000,1.85
1973,1344000,3.62,1064000,1.72
1974,1392000,3.57,1084000,1.88
1975,1442000,3.59,1103000,1.75
1976,1493000,3.54,1123000,1.81
1977,1547000,3.62,1143000,1.78
1978,1602000,3.56,1163000,1.75
1979,1660000,3.62,1184000,1.81
1980,1718000,3.49,1204000,1.69
1981,1774000,3.26,1221000,1.41
1982,1832000,3.27,1237000,1.31
1983,1891000,3.22,1254000,1.37
1984,1953000,3.28,1271000,1.36
1985,2017000,3.28,1288000,1.34
1986,2082000,3.22,1305000,1.32
1987,2150000,3.27,1323000,1.38
1988,2220000,3.26,1341000,1.36
1989,2293000,3.29,1359000,1.34
1990,2356000,2.75,1376000,1.25
1991,2387000,1.32,1392000,1.16
1992,2418000,1.3,1408000,1.15
1993,2450000,1.32,1424000,1.14
1994,2482000,1.31,1441000,1.19
1995,2514000,1.29,1457000,1.11
1996,2547000,1.31,1474000,1.17
1997,2580000,1.3,1491000,1.15
1998,2614000,1.32,1508000,1.14
1999,2648000,1.3,1525000,1.13
2000,2681000,1.25,1541000,1.05
2001,2708000,1.01,1554000,0.84
2002,2735000,1.0,1566000,0.77
2003,2763000,1.02,1578000,0.77
2004,2791000,1.01,1591000,0.82
2005,2819000,1.0,1603000,0.75
2006,2848000,1.03,1616000,0.81
2007,2876000,0.98,1629000,0.8
2008,2905000,1.01,1642000,0.8
2009,2935000,1.03,1655000,0.79
2010,2964000,0.99,1668000,0.79
2011,2994000,1.01,1681000,0.78
2012,3024000,1.0,1694000,0.77
2013,3055000,1.03,1708000,0.83
2014,3086000,1.01,1721000,0.76
2015,3117000,1.0,1735000,0.81
2016,3148000,0.99,1749000,0.81
2017,3180000,1.02,1762000,0.74
2018,3212000,1.01,1776000,0.79
2019,3231000,0.59,1783000,0.39
2020,3251000,0.62,1791000,0.45
2021,3272000,0.65,1799000,0.45
2022,3295000,0.7,1809000,0.56
2023,3319000,0.73,1821000,0.66