Episode,Season,Week Number,Judge,Week Name,Baker,Gender,Age,Signature Handshake,Technical Rank,Showstopper Handshake,Star Baker,Eliminated,Competed,Winner
"Series 1, Episode 1",1,1,Mary,Cake,Annetha,F,30,0,2.0,0,0,0,1,0
"Series 1, Episode 1",1,1,Mary,Cake,David,M,31,0,3.0,0,0,0,1,0
"Series 1, Episode 1",1,1,Mary,Cake,Edd,M,24,0,1.0,0,0,0,1,1
"Series 1, Episode 1",1,1,Mary,Cake,Jasminder,F,45,0,,0,0,0,1,0
"Series 1, Episode 1",1,1,Mary,Cake,Jonathan,M,25,0,9.0,0,0,0,1,0
"Series 1, Episode 1",1,1,Mary,Cake,Lea,F,51,0,10.0,0,0,1,1,0
"Series 1, Episode 1",1,1,Mary,Cake,Louise,F,44,0,,0,0,1,1,0
"Series 1, Episode 1",1,1,Mary,Cake,Mark,M,48,0,,0,0,0,1,0
"Series 1, Episode 1",1,1,Mary,Cake,Miranda,F,37,0,8.0,0,0,0,1,0
"Series 1, Episode 1",1,1,Mary,Cake,Ruth,F,31,0,,0,0,0,1,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Annetha,F,30,0,7.0,0,0,1,1,0
"Series 1, Episode 2",1,2,Mary,Biscuits,David,M,31,0,8.0,0,0,0,1,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Edd,M,24,0,6.0,0,0,0,1,1
"Series 1, Episode 2",1,2,Mary,Biscuits,Jasminder,F,45,0,2.0,0,0,0,1,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Jonathan,M,25,0,1.0,0,0,0,1,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Lea,F,51,0,,0,0,0,0,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Louise,F,44,0,4.0,0,0,1,1,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Mark,M,48,0,,0,0,0,0,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Miranda,F,37,0,3.0,0,0,0,1,0
"Series 1, Episode 2",1,2,Mary,Biscuits,Ruth,F,31,0,5.0,0,0,0,1,0
"Series 1, Episode 3",1,3,Mary,Bread,Annetha,F,30,0,,0,0,0,0,0
"Series 1, Episode 3",1,3,Mary,Bread,David,M,31,0,4.0,0,0,0,1,0
"Series 1, Episode 3",1,3,Mary,Bread,Edd,M,24,0,1.0,0,0,0,1,1
"Series 1, Episode 3",1,3,Mary,Bread,Jasminder,F,45,0,5.0,0,0,0,1,0
"Series 1, Episode 3",1,3,Mary,Bread,Jonathan,M,25,0,6.0,0,0,1,1,0
"Series 1, Episode 3",1,3,Mary,Bread,Lea,F,51,0,,0,0,0,0,0
"Series 1, Episode 3",1,3,Mary,Bread,Louise,F,44,0,,0,0,0,0,0
"Series 1, Episode 3",1,3,Mary,Bread,Mark,M,48,0,,0,0,0,0,0
"Series 1, Episode 3",1,3,Mary,Bread,Miranda,F,37,0,3.0,0,0,0,1,0
"Series 1, Episode 3",1,3,Mary,Bread,Ruth,F,31,0,2.0,0,0,0,1,0
"Series 1, Episode 4",1,4,Mary,Pudding,Annetha,F,30,0,,0,0,0,0,0
"Series 1, Episode 4",1,4,Mary,Pudding,David,M,31,0,5.0,0,0,1,1,0
"Series 1, Episode 4",1,4,Mary,Pudding,Edd,M,24,0,3.0,0,0,0,1,1
"Series 1, Episode 4",1,4,Mary,Pudding,Jasminder,F,45,0,2.0,0,0,0,1,0
"Series 1, Episode 4",1,4,Mary,Pudding,Jonathan,M,25,0,,0,0,0,0,0
"Series 1, Episode 4",1,4,Mary,Pudding,Lea,F,51,0,,0,0,0,0,0
"Series 1, Episode 4",1,4,Mary,Pudding,Louise,F,44,0,,0,0,0,0,0
"Series 1, Episode 4",1,4,Mary,Pudding,Mark,M,48,0,,0,0,0,0,0
"Series 1, Episode 4",1,4,Mary,Pudding,Miranda,F,37,0,1.0,0,0,0,1,0
"Series 1, Episode 4",1,4,Mary,Pudding,Ruth,F,31,0,4.0,0,0,0,1,0
"Series 1, Episode 5",1,5,Mary,Pastry,Annetha,F,30,0,,0,0,0,0,0
"Series 1, Episode 5",1,5,Mary,Pastry,David,M,31,0,,0,0,0,0,0
"Series 1, Episode 5",1,5,Mary,Pastry,Edd,M,24,0,2.0,0,0,0,1,1
"Series 1, Episode 5",1,5,Mary,Pastry,Jasminder,F,45,0,4.0,0,0,1,1,0
"Series 1, Episode 5",1,5,Mary,Pastry,Jonathan,M,25,0,,0,0,0,0,0
"Series 1, Episode 5",1,5,Mary,Pastry,Lea,F,51,0,,0,0,0,0,0
"Series 1, Episode 5",1,5,Mary,Pastry,Louise,F,44,0,,0,0,0,0,0
"Series 1, Episode 5",1,5,Mary,Pastry,Mark,M,48,0,,0,0,0,0,0
"Series 1, Episode 5",1,5,Mary,Pastry,Miranda,F,37,0,1.0,0,0,0,1,0
"Series 1, Episode 5",1,5,Mary,Pastry,Ruth,F,31,0,3.0,0,0,0,1,0
"Series 1, Episode 6",1,6,Mary,Final,Annetha,F,30,0,,0,0,0,0,0
"Series 1, Episode 6",1,6,Mary,Final,David,M,31,0,,0,0,0,0,0
"Series 1, Episode 6",1,6,Mary,Final,Edd,M,24,0,,0,0,0,1,1
"Series 1, Episode 6",1,6,Mary,Final,Jasminder,F,45,0,,0,0,0,0,0
"Series 1, Episode 6",1,6,Mary,Final,Jonathan,M,25,0,,0,0,0,0,0
"Series 1, Episode 6",1,6,Mary,Final,Lea,F,51,0,,0,0,0,0,0
"Series 1, Episode 6",1,6,Mary,Final,Louise,F,44,0,,0,0,0,0,0
"Series 1, Episode 6",1,6,Mary,Final,Mark,M,48,0,,0,0,0,0,0
"Series 1, Episode 6",1,6,Mary,Final,Miranda,F,37,0,,0,0,1,1,0
"Series 1, Episode 6",1,6,Mary,Final,Ruth,F,31,0,,0,0,1,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Ben,M,31,0,2.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Holly,F,31,0,1.0,0,1,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Ian,M,40,0,10.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Janet,F,63,0,8.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Jason,M,19,0,6.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Joanne,F,41,0,11.0,0,0,0,1,1
"Series 2, Episode 1",2,1,Mary,Cake,Keith,M,31,0,12.0,0,0,1,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Mary-Anne,F,45,0,4.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Robert,M,25,0,3.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Simon,M,31,0,9.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Urvashi,F,40,0,7.0,0,0,0,1,0
"Series 2, Episode 1",2,1,Mary,Cake,Yasmin,F,43,0,5.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Ben,M,31,0,1.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Holly,F,31,0,4.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Ian,M,40,0,2.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Janet,F,63,0,8.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Jason,M,19,0,3.0,0,1,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Joanne,F,41,0,10.0,0,0,0,1,1
"Series 2, Episode 2",2,2,Mary,Tarts,Keith,M,31,0,,0,0,0,0,0
"Series 2, Episode 2",2,2,Mary,Tarts,Mary-Anne,F,45,0,9.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Robert,M,25,0,5.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Simon,M,31,0,11.0,0,0,1,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Urvashi,F,40,0,7.0,0,0,0,1,0
"Series 2, Episode 2",2,2,Mary,Tarts,Yasmin,F,43,0,6.0,0,0,0,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Ben,M,31,0,3.0,0,0,0,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Holly,F,31,0,6.0,0,0,0,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Ian,M,40,0,10.0,0,0,1,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Janet,F,63,0,8.0,0,0,0,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Jason,M,19,0,7.0,0,0,0,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Joanne,F,41,0,1.0,0,0,0,1,1
"Series 2, Episode 3",2,3,Mary,Bread,Keith,M,31,0,,0,0,0,0,0
"Series 2, Episode 3",2,3,Mary,Bread,Mary-Anne,F,45,0,5.0,0,0,0,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Robert,M,25,0,4.0,0,0,0,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Simon,M,31,0,,0,0,0,0,0
"Series 2, Episode 3",2,3,Mary,Bread,Urvashi,F,40,0,9.0,0,0,1,1,0
"Series 2, Episode 3",2,3,Mary,Bread,Yasmin,F,43,0,2.0,0,1,0,1,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Ben,M,31,0,5.0,0,0,1,1,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Holly,F,31,0,3.0,0,1,0,1,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Ian,M,40,0,,0,0,0,0,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Janet,F,63,0,4.0,0,0,0,1,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Jason,M,19,0,1.0,0,1,0,1,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Joanne,F,41,0,8.0,0,0,0,1,1
"Series 2, Episode 4",2,4,Mary,Biscuits,Keith,M,31,0,,0,0,0,0,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Mary-Anne,F,45,0,2.0,0,0,0,1,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Robert,M,25,0,7.0,0,0,0,1,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Simon,M,31,0,,0,0,0,0,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Urvashi,F,40,0,,0,0,0,0,0
"Series 2, Episode 4",2,4,Mary,Biscuits,Yasmin,F,43,0,6.0,0,0,0,1,0
"Series 2, Episode 5",2,5,Mary,Pie,Ben,M,31,0,,0,0,0,0,0
"Series 2, Episode 5",2,5,Mary,Pie,Holly,F,31,0,4.0,0,0,0,1,0
"Series 2, Episode 5",2,5,Mary,Pie,Ian,M,40,0,,0,0,0,0,0
"Series 2, Episode 5",2,5,Mary,Pie,Janet,F,63,0,1.0,0,1,0,1,0
"Series 2, Episode 5",2,5,Mary,Pie,Jason,M,19,0,7.0,0,0,1,1,0
"Series 2, Episode 5",2,5,Mary,Pie,Joanne,F,41,0,6.0,0,0,0,1,1
"Series 2, Episode 5",2,5,Mary,Pie,Keith,M,31,0,,0,0,0,0,0
"Series 2, Episode 5",2,5,Mary,Pie,Mary-Anne,F,45,0,2.0,0,0,0,1,0
"Series 2, Episode 5",2,5,Mary,Pie,Robert,M,25,0,3.0,0,0,1,1,0
"Series 2, Episode 5",2,5,Mary,Pie,Simon,M,31,0,,0,0,0,0,0
"Series 2, Episode 5",2,5,Mary,Pie,Urvashi,F,40,0,,0,0,0,0,0
"Series 2, Episode 5",2,5,Mary,Pie,Yasmin,F,43,0,5.0,0,0,0,1,0
"Series 2, Episode 6",2,6,Mary,Dessert,Ben,M,31,0,,0,0,0,0,0
"Series 2, Episode 6",2,6,Mary,Dessert,Holly,F,31,0,3.0,0,0,0,1,0
"Series 2, Episode 6",2,6,Mary,Dessert,Ian,M,40,0,,0,0,0,0,0
"Series 2, Episode 6",2,6,Mary,Dessert,Janet,F,63,0,5.0,0,0,0,1,0
"Series 2, Episode 6",2,6,Mary,Dessert,Jason,M,19,0,,0,0,0,0,0
"Series 2, Episode 6",2,6,Mary,Dessert,Joanne,F,41,0,1.0,0,1,0,1,1
"Series 2, Episode 6",2,6,Mary,Dessert,Keith,M,31,0,,0,0,0,0,0
"Series 2, Episode 6",2,6,Mary,Dessert,Mary-Anne,F,45,0,4.0,0,0,0,1,0
"Series 2, Episode 6",2,6,Mary,Dessert,Robert,M,25,0,,0,0,0,0,0
"Series 2, Episode 6",2,6,Mary,Dessert,Simon,M,31,0,,0,0,0,0,0
"Series 2, Episode 6",2,6,Mary,Dessert,Urvashi,F,40,0,,0,0,0,0,0
"Series 2, Episode 6",2,6,Mary,Dessert,Yasmin,F,43,0,2.0,0,0,1,1,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Ben,M,31,0,,0,0,0,0,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Holly,F,31,0,1.0,0,0,0,1,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Ian,M,40,0,,0,0,0,0,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Janet,F,63,0,4.0,0,0,1,1,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Jason,M,19,0,,0,0,0,0,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Joanne,F,41,0,3.0,0,0,0,1,1
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Keith,M,31,0,,0,0,0,0,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Mary-Anne,F,45,0,2.0,0,0,0,1,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Robert,M,25,0,,0,0,0,0,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Simon,M,31,0,,0,0,0,0,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Urvashi,F,40,0,,0,0,0,0,0
"Series 2, Episode 7",2,7,Mary,Pâtisserie,Yasmin,F,43,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Ben,M,31,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Holly,F,31,0,2.0,0,0,1,1,0
"Series 2, Episode 8",2,8,Mary,Final,Ian,M,40,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Janet,F,63,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Jason,M,19,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Joanne,F,41,0,1.0,0,1,0,1,1
"Series 2, Episode 8",2,8,Mary,Final,Keith,M,31,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Mary-Anne,F,45,0,3.0,0,0,1,1,0
"Series 2, Episode 8",2,8,Mary,Final,Robert,M,25,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Simon,M,31,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Urvashi,F,40,0,,0,0,0,0,0
"Series 2, Episode 8",2,8,Mary,Final,Yasmin,F,43,0,,0,0,0,0,0
"Series 3, Episode 1",3,1,Mary,Cake,Brenden,M,63,0,10.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Cathryn,F,27,0,5.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Danny,F,45,0,7.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,James,M,21,0,2.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,John,M,23,0,11.0,0,0,0,1,1
"Series 3, Episode 1",3,1,Mary,Cake,Manisha,F,27,0,6.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Natasha,F,36,0,12.0,0,0,1,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Peter,M,43,0,3.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Ryan,M,38,0,8.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Sarah-Jane,F,28,0,1.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Stuart,M,26,0,9.0,0,0,0,1,0
"Series 3, Episode 1",3,1,Mary,Cake,Victoria,F,50,0,4.0,0,1,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Brenden,M,63,0,4.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Cathryn,F,27,0,8.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Danny,F,45,0,3.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,James,M,21,0,2.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,John,M,23,0,1.0,0,1,0,1,1
"Series 3, Episode 2",3,2,Mary,Bread,Manisha,F,27,0,6.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Natasha,F,36,0,,0,0,0,0,0
"Series 3, Episode 2",3,2,Mary,Bread,Peter,M,43,0,11.0,0,0,1,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Ryan,M,38,0,5.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Sarah-Jane,F,28,0,10.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Stuart,M,26,0,9.0,0,0,0,1,0
"Series 3, Episode 2",3,2,Mary,Bread,Victoria,F,50,0,7.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,Brenden,M,63,0,9.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,Cathryn,F,27,0,3.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,Danny,F,45,0,2.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,James,M,21,0,1.0,0,1,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,John,M,23,0,6.0,0,0,0,1,1
"Series 3, Episode 3",3,3,Mary,Tarts,Manisha,F,27,0,10.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,Natasha,F,36,0,,0,0,0,0,0
"Series 3, Episode 3",3,3,Mary,Tarts,Peter,M,43,0,,0,0,0,0,0
"Series 3, Episode 3",3,3,Mary,Tarts,Ryan,M,38,0,5.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,Sarah-Jane,F,28,0,8.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,Stuart,M,26,0,7.0,0,0,0,1,0
"Series 3, Episode 3",3,3,Mary,Tarts,Victoria,F,50,0,4.0,0,0,1,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,Brenden,M,63,0,1.0,0,1,0,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,Cathryn,F,27,0,3.0,0,0,0,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,Danny,F,45,0,2.0,0,0,0,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,James,M,21,0,5.0,0,0,0,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,John,M,23,0,6.0,0,0,0,1,1
"Series 3, Episode 4",3,4,Mary,Dessert,Manisha,F,27,0,9.0,0,0,0,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,Natasha,F,36,0,,0,0,0,0,0
"Series 3, Episode 4",3,4,Mary,Dessert,Peter,M,43,0,,0,0,0,0,0
"Series 3, Episode 4",3,4,Mary,Dessert,Ryan,M,38,0,7.0,0,0,0,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,Sarah-Jane,F,28,0,4.0,0,0,0,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,Stuart,M,26,0,8.0,0,0,1,1,0
"Series 3, Episode 4",3,4,Mary,Dessert,Victoria,F,50,0,,0,0,0,0,0
"Series 3, Episode 5",3,5,Mary,Pie,Brenden,M,63,0,3.0,0,0,0,1,0
"Series 3, Episode 5",3,5,Mary,Pie,Cathryn,F,27,0,1.0,0,0,0,1,0
"Series 3, Episode 5",3,5,Mary,Pie,Danny,F,45,0,7.0,0,0,0,1,0
"Series 3, Episode 5",3,5,Mary,Pie,James,M,21,0,6.0,0,0,0,1,0
"Series 3, Episode 5",3,5,Mary,Pie,John,M,23,0,2.0,0,0,0,1,1
"Series 3, Episode 5",3,5,Mary,Pie,Manisha,F,27,0,5.0,0,0,1,1,0
"Series 3, Episode 5",3,5,Mary,Pie,Natasha,F,36,0,,0,0,0,0,0
"Series 3, Episode 5",3,5,Mary,Pie,Peter,M,43,0,,0,0,0,0,0
"Series 3, Episode 5",3,5,Mary,Pie,Ryan,M,38,0,8.0,0,1,0,1,0
"Series 3, Episode 5",3,5,Mary,Pie,Sarah-Jane,F,28,0,4.0,0,0,0,1,0
"Series 3, Episode 5",3,5,Mary,Pie,Stuart,M,26,0,,0,0,0,0,0
"Series 3, Episode 5",3,5,Mary,Pie,Victoria,F,50,0,,0,0,0,0,0
"Series 3, Episode 6",3,6,Mary,Pudding,Brenden,M,63,0,1.0,0,1,0,1,0
"Series 3, Episode 6",3,6,Mary,Pudding,Cathryn,F,27,0,3.0,0,0,0,1,0
"Series 3, Episode 6",3,6,Mary,Pudding,Danny,F,45,0,2.0,0,0,0,1,0
"Series 3, Episode 6",3,6,Mary,Pudding,James,M,21,0,7.0,0,0,0,1,0
"Series 3, Episode 6",3,6,Mary,Pudding,John,M,23,0,5.0,0,0,0,1,1
"Series 3, Episode 6",3,6,Mary,Pudding,Manisha,F,27,0,,0,0,0,0,0
"Series 3, Episode 6",3,6,Mary,Pudding,Natasha,F,36,0,,0,0,0,0,0
"Series 3, Episode 6",3,6,Mary,Pudding,Peter,M,43,0,,0,0,0,0,0
"Series 3, Episode 6",3,6,Mary,Pudding,Ryan,M,38,0,6.0,0,0,0,1,0
"Series 3, Episode 6",3,6,Mary,Pudding,Sarah-Jane,F,28,0,4.0,0,0,0,1,0
"Series 3, Episode 6",3,6,Mary,Pudding,Stuart,M,26,0,,0,0,0,0,0
"Series 3, Episode 6",3,6,Mary,Pudding,Victoria,F,50,0,,0,0,0,0,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Brenden,M,63,0,4.0,0,0,0,1,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Cathryn,F,27,0,5.0,0,0,0,1,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Danny,F,45,0,2.0,0,1,0,1,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,James,M,21,0,1.0,0,0,0,1,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,John,M,23,0,3.0,0,0,0,1,1
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Manisha,F,27,0,,0,0,0,0,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Natasha,F,36,0,,0,0,0,0,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Peter,M,43,0,,0,0,0,0,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Ryan,M,38,1,6.0,0,0,1,1,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Sarah-Jane,F,28,0,7.0,0,0,1,1,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Stuart,M,26,0,,0,0,0,0,0
"Series 3, Episode 7",3,7,Mary,Sweet Dough,Victoria,F,50,0,,0,0,0,0,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Brenden,M,63,0,2.0,0,0,0,1,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Cathryn,F,27,0,5.0,0,0,1,1,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Danny,F,45,0,4.0,0,0,0,1,0
"Series 3, Episode 8",3,8,Mary,Biscuits,James,M,21,0,1.0,0,1,0,1,0
"Series 3, Episode 8",3,8,Mary,Biscuits,John,M,23,0,3.0,0,0,0,1,1
"Series 3, Episode 8",3,8,Mary,Biscuits,Manisha,F,27,0,,0,0,0,0,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Natasha,F,36,0,,0,0,0,0,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Peter,M,43,0,,0,0,0,0,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Ryan,M,38,0,,0,0,0,0,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Sarah-Jane,F,28,0,,0,0,0,0,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Stuart,M,26,0,,0,0,0,0,0
"Series 3, Episode 8",3,8,Mary,Biscuits,Victoria,F,50,0,,0,0,0,0,0
"Series 3, Episode 9",3,9,Mary,Pâtisserie,Brenden,M,63,0,3.0,0,0,0,1,0
