Restaurant,City,Rating
15th Street Fisheries,Fort Lauderdale,3.5
Abe & Louie's,Boston,4
Alinea,Chicago,4.5
Atlanta Fish Market,Atlanta,3.5
BOA Steakhouse,West Hollywood,4
Balthazar,New York,4
Bar Siena,Chicago,4
Bazaar Meat by Jose Andres,Las Vegas,4
Beauty & Essex (Las Vegas),Las Vegas,4
Beauty & Essex (New York City),New York,4
Big Texan Steak Ranch,Amarillo,3.5
Bistro 31,Dallas,4
Bob Chinn's Crab House,Wheeling,4
Bottega Louie,Los Angeles,4
Bryant Park Grill & Cafe,New York,3.5
Buddakan (NYC),New York,4
Capa,Orlando,4.5
Casa Tua Miami,Miami Beach,3.5
Castaway Burbank,Burbank,4
Chicago Cut Steakhouse,Chicago,3.5
China Live,San Francisco,4
Chops Lobster Bar,Atlanta,4
Commander's Palace,New Orleans,4.5
Delmonico Steakhouse,Las Vegas,4
El Vez Philadelphia,Philadelphia,4
Frankenmuth Bavarian Inn,Frankenmuth,3
Franklin Barbecue,Austin,4.5
George's at the Cove,La Jolla,4
Gibsons Bar & Steakhouse (Chicago),Chicago,4
Gibsons Bar & Steakhouse (Rosemont),Rosemont,4
Gibsons Bar Steakhouse (Oak Brook),Oak Brook,4
Gibsons Italia,Chicago,4
Girl & the Goat,Chicago,4.5
Gladstones,Pacific Palisades,3
Grand Central Oyster Bar,New York,3
Harris Ranch Inn & Restaurant,Coalinga,3.5
Harry Caray's Italian Steakhouse,Chicago,4
Hell's Kitchen (Las Vegas),Las Vegas,4.5
Hugo's Frog Bar & Fish House,Chicago,4
"Joe's Seafood, Prime Steak & Stone Crab (Chicago)",Chicago,4.5
"Joe's Seafood, Prime Steak & Stone Crab (Las Vegas)",Las Vegas,4.5
"Joe's Seafood, Prime Steak & Stone Crab (Washington, D.C.)",Washington,4.5
Keens Steakhouse,New York,4
Knife & Fork Inn,Atlantic City,4
Komodo,Miami,4
L'Atelier de Joël Robuchon Miami,Miami,4.5
LAVO Italian Restaurant & Lounge,Las Vegas,3.5
LAVO Italian Restaurant & Nightclub,New York,4
Lambert's Cafe (Sikeston),Sikeston,4
Le Diplomate,Washington,4.5
Makoto,Miami Beach,4
Maple & Ash (Chicago),Chicago,4
Maple & Ash (Scottsdale),Scottsdale,4
Marion,Miami,3.5
Matt's El Rancho,Austin,3.5
Mickey Mantle's Steakhouse,Oklahoma City,4
"Mike's ""American""",Springfield,4.5
Mila,Miami Beach,4
Mon Ami Gabi,Las Vegas,4
Morimoto Asia,Orlando (Disney Springs),3.5
Mélisse,Santa Monica,4
Old Mill Restaurant,Pigeon Forge,4.5
On Swann,Tampa,4.5
Original Joe's North Beach,San Francisco,4
Original Joe's Westlake,San Francisco,4
Paddlefish,Orlando,4
Pancake Pantry,Gatlinburg,4
Papi Steak,Miami Beach,3.5
Paradise Cove Beach Cafe,Malibu,3
Parc,Philadelphia,4
Pastis,New York,4
Prime & Provisions,Chicago,4.5
Prime 112,Miami Beach,3.5
Prime Steakhouse,Las Vegas,4
RPM Steak,Chicago,4
Rustic Inn,Fort Lauderdale,4
Rusty Pelican Miami,Miami,3.5
SW Steakhouse,Las Vegas,4
Sharky's on the Pier,Venice,3.5
Shaw's Crab House,Chicago,3.5
Shooters Waterfront,Fort Lauderdale,4
Siena Tavern,Chicago,4
Sparks Steak House,New York,3.5
St. Elmo Steak House,Indianapolis,4
Steak 954,Fort Lauderdale,4
Stubborn Seed,Miami Beach,4.5
Swan,Miami,3.5
Swift & Sons,Chicago,4
Taste of Texas,Houston,4.5
Tavern on Rush,Chicago,3.5
Tavern on the Green,New York,3.5
The Boathouse Orlando,Orlando,4.5
The Hampton Social (Nashville),Nashville,4.5
The Lobster House,Cape May,3.5
The Precinct by Jeff Ruby,Cincinnati,4.5
The Spot,Galveston,3.5
Top of the World,Las Vegas,3.5
Toulouse Cafe & Bar Houston,Houston,3.5
Whiskey Joe's Tampa,Tampa,3
Zehnder's of Frankenmuth,Frankenmuth,3.5